Model Configuration,Balancing,Split,Accuracy,Precision,Recall,F1,Macro_Accuracy,Macro_Precision,Macro_Recall,Macro_F1,MRR,MAP,NDCG
8. Concat BERT (Context Features),RST-Neighborhood,validation,0.38427947598253276,0.20238095238095238,0.8292682926829268,0.3253588516746411,0.41373626373626377,0.2467948717948718,0.8205128205128205,0.3612535612535613,0.5583638583638584,0.5615689865689866,0.6686095943766952
8. Concat BERT (Context Features),DSNB,train,0.42503259452411996,0.23166974738139248,0.831858407079646,0.3624096385542169,0.4436545448160492,0.28257831156061247,0.831858407079646,0.3983407079646018,0.583620417193426,0.583620417193426,0.6860047985882448
8. Concat BERT (Context Features),DSNB,validation,0.5021834061135371,0.21705426356589147,0.6829268292682927,0.32941176470588235,0.487108262108262,0.24358974358974364,0.6923076923076923,0.3511599511599511,0.5378510378510377,0.529090354090354,0.6445740566020793
9. Gated BERT (No RST),None,train,0.8053020425901782,0.75,0.01327433628318584,0.02608695652173913,0.7592872466766274,0.01327433628318584,0.01327433628318584,0.01327433628318584,0.45276381067310273,0.45276381067310273,0.5853305326466112
9. Gated BERT (No RST),None,validation,0.8209606986899564,0.0,0.0,0.0,0.7781237281237282,0.0,0.0,0.0,0.42078754578754574,0.41252543752543747,0.5562444821393518
9. Gated BERT (No RST),Pairwise,train,0.343328987396784,0.22748327328872878,0.9778761061946902,0.36910229645093945,0.3699609878813419,0.2774353841831718,0.9778761061946902,0.4114980398166239,0.6326327433628318,0.6326327433628318,0.7244401575210806
9. Gated BERT (No RST),Pairwise,validation,0.2096069868995633,0.18468468468468469,1.0,0.311787072243346,0.2539275539275539,0.23011803011803017,1.0,0.3580623080623081,0.5204517704517705,0.5183150183150182,0.6351522072620637
9. Gated BERT (No RST),Cluster,train,0.6623207301173403,0.24727838258164853,0.35176991150442477,0.29041095890410956,0.6354829904608665,0.2125737463126844,0.35176991150442477,0.252212389380531,0.5217421528815335,0.5217421528815335,0.6380067022456972
9. Gated BERT (No RST),Cluster,validation,0.6069868995633187,0.21839080459770116,0.4634146341463415,0.296875,0.6039580789580788,0.18632478632478633,0.46153846153846156,0.25006105006105006,0.48806471306471305,0.4757020757020757,0.6053214760733999
9. Gated BERT (No RST),RST-Neighborhood,train,0.24467622772707517,0.2023148148148148,0.9668141592920354,0.3346094946401225,0.28487186977231227,0.24904169699523682,0.9668141592920354,0.37867303542082303,0.5550588055012833,0.5550588055012833,0.6639747031951685
